experiment,participant_id,prompt_idx,response,label,label_text,group,group_text,top1,avgk_set,conformal_marginal_set,conformal_conditional_set
control,401,112,8,8,Surprised,0.0,Male,8,3 8,3 8,3 8
control,401,267,4,1,Neutral,0.0,Male,2,1 2,1 2,1 2
control,401,304,7,7,Disgust,0.0,Male,7,7,7,7
control,401,257,2,2,Calm,1.0,Female,2,1 2,1 2,1 2
control,401,27,7,7,Disgust,1.0,Female,7,7,7,7
control,401,167,4,1,Neutral,0.0,Male,2,1 2,1 2,1 2
control,401,349,2,1,Neutral,0.0,Male,2,1 2,1 2,1 2 4
control,402,284,1,5,Angry,1.0,Female,5,5,5,5
control,402,101,7,7,Disgust,0.0,Male,7,5 7,5 7,5 7
control,402,46,6,4,Sad,0.0,Male,4,4,4,2 3 4
control,402,123,3,2,Calm,0.0,Male,2,1 2,2,1 2
control,402,12,5,5,Angry,1.0,Female,5,5,5,5
control,402,58,4,4,Sad,1.0,Female,2,2,2 4,2
control,402,83,3,3,Happy,0.0,Male,3,3 4 6,3 4 6,3 4 6
control,402,45,7,7,Disgust,1.0,Female,7,7,7,7
control,402,62,8,8,Surprised,1.0,Female,8,3 8,8,8
control,402,108,4,4,Sad,0.0,Male,2,2 4,2 4,2 4 7
control,402,147,2,3,Happy,0.0,Male,1,1 2,1 2,1 2 4
control,402,30,5,2,Calm,1.0,Female,2,2,2,2
control,402,7,7,1,Neutral,0.0,Male,2,1 2,1 2,1 2
control,402,298,8,8,Surprised,0.0,Male,8,1 3 8,1 3 8,1 3 8
control,402,228,5,5,Angry,0.0,Male,5,5,5,5
control,402,242,2,2,Calm,1.0,Female,2,2,2,2
control,402,76,7,7,Disgust,0.0,Male,7,5 7,7,5 7
control,402,224,3,3,Happy,0.0,Male,4,1 2 3 4,1 2 4,1 2 4
control,402,294,3,3,Happy,1.0,Female,1,1 3 8,1 3 8,1 3 8
control,402,110,6,6,Fearful,0.0,Male,6,3 4 6,3 4 6,3 4 6
control,402,205,1,3,Happy,1.0,Female,1,1 3 4 8,1 3 8,1 3 8
control,402,203,5,7,Disgust,1.0,Female,7,5 7,5 7,5 7
control,402,144,1,1,Neutral,0.0,Male,2,1 2,1 2,1 2
control,402,115,5,5,Angry,0.0,Male,5,5,5,5
control,402,100,8,8,Surprised,1.0,Female,8,3 8,3 8,8
control,402,214,6,8,Surprised,0.0,Male,8,3 6 8,3 6 8,3 6 8
control,402,271,6,6,Fearful,1.0,Female,6,3 6,3 6,3 6
control,402,134,5,5,Angry,1.0,Female,5,5,5,5
control,402,275,2,2,Calm,0.0,Male,2,2,2,1 2
control,402,329,5,5,Angry,0.0,Male,5,5,5,5
control,402,235,5,5,Angry,0.0,Male,5,5,5,5
control,402,142,8,8,Surprised,0.0,Male,8,3 8,8,3 8
control,402,116,7,7,Disgust,0.0,Male,7,5 7,5 7,5 7
control,402,169,6,6,Fearful,1.0,Female,6,3 6,3 6 8,3 6
control,402,216,3,3,Happy,1.0,Female,6,3 6 8,3 6 8,3 6
control,402,153,2,1,Neutral,1.0,Female,2,1 2,1 2,1 2
control,402,341,6,7,Disgust,1.0,Female,7,7,7,7
control,402,197,7,7,Disgust,1.0,Female,7,7,7,7
control,402,21,7,7,Disgust,1.0,Female,7,7,7,7
control,402,316,5,5,Angry,1.0,Female,5,5,5,5
control,402,157,7,7,Disgust,1.0,Female,7,7,7,7
control,402,355,6,4,Sad,1.0,Female,4,2 4,2 4,2 4
control,402,346,4,4,Sad,0.0,Male,2,2 4,2 4,1 2 4
control,402,172,2,2,Calm,1.0,Female,2,2,2,2
control,402,102,1,3,Happy,1.0,Female,1,1 2,1 2 4,1 2
control,402,222,3,8,Surprised,0.0,Male,8,3 8,3 8,1 3 8
control,402,281,3,3,Happy,0.0,Male,8,3 6 8,3 6 8,3 6 8
control,402,60,3,3,Happy,0.0,Male,1,1 2,1 2,1 2 4
control,402,173,5,6,Fearful,0.0,Male,8,3 5 6 8,3 6 8,3 6 8
control,402,274,1,6,Fearful,0.0,Male,3,3 4 6,3 4 6,3 4 6
control,403,147,1,3,Happy,0.0,Male,1,1 2,1 2,1 2 4
control,403,23,6,8,Surprised,1.0,Female,8,3 8,3 8,3 8
control,403,94,5,5,Angry,1.0,Female,5,5,5,5
control,403,310,7,7,Disgust,1.0,Female,7,5 7,5 7,7
control,403,245,5,5,Angry,1.0,Female,5,5,5,5
control,403,218,1,3,Happy,0.0,Male,1,1 2,1 2 8,1 2 8
control,403,45,3,7,Disgust,1.0,Female,7,7,7,7
control,403,222,2,8,Surprised,0.0,Male,8,3 8,3 8,1 3 8
control,403,300,2,4,Sad,1.0,Female,2,2 4,2 4,2 4
control,403,164,2,2,Calm,1.0,Female,2,1 2,1 2,2
control,403,70,2,2,Calm,0.0,Male,2,2,2,1 2
control,403,33,8,8,Surprised,0.0,Male,8,3 8,3 8,3 8
control,403,139,6,6,Fearful,1.0,Female,6,3 6,3 6,3 6
control,403,57,2,2,Calm,0.0,Male,2,2,2,1 2
control,403,103,2,2,Calm,0.0,Male,2,2,2,1 2
control,403,337,3,8,Surprised,1.0,Female,1,1 3 8,1 3 8,1 3 8
control,403,249,7,7,Disgust,0.0,Male,7,7,7,7
control,403,178,5,5,Angry,1.0,Female,5,5 8,1 5 8,5 8
control,403,205,3,3,Happy,1.0,Female,1,1 3 4 8,1 3 8,1 3 8
control,403,51,1,8,Surprised,0.0,Male,1,1 3 8,1 3 8,1 3 8
control,403,201,5,5,Angry,0.0,Male,5,5,5,5
control,403,215,6,4,Sad,0.0,Male,4,3 4,3 4,3 4 6
control,403,254,1,3,Happy,0.0,Male,1,1 2,1 2 4,1 2 4
control,403,290,8,3,Happy,1.0,Female,6,3 6,3 4 6,3 6
control,403,110,6,6,Fearful,0.0,Male,6,3 4 6,3 4 6,3 4 6
control,403,343,7,5,Angry,1.0,Female,5,5,5,5
control,403,44,6,6,Fearful,0.0,Male,3,3 4 6,3 4 6,3 4 6
control,403,357,4,4,Sad,1.0,Female,4,2 4,4,4
control,403,286,6,7,Disgust,0.0,Male,7,4 7,7,4 7
control,403,61,8,6,Fearful,0.0,Male,6,3 6 8,3 6 8,3 6 8
control,403,59,6,6,Fearful,1.0,Female,6,3 4 6,3 4 6,3 4 6
control,403,119,8,6,Fearful,0.0,Male,8,3 8,3 8,3 6 8
control,403,246,3,3,Happy,1.0,Female,1,1 3 4 8,1 3 4,1 3 4
control,403,272,5,5,Angry,1.0,Female,5,5 8,5 8,5 8
control,403,30,2,2,Calm,1.0,Female,2,2,2,2
control,403,144,1,1,Neutral,0.0,Male,2,1 2,1 2,1 2
control,403,267,1,1,Neutral,0.0,Male,2,1 2,1 2,1 2
control,403,226,2,4,Sad,0.0,Male,2,2,2,1 2 4
control,403,2,6,6,Fearful,1.0,Female,6,3 6,3 6,3 6
control,403,5,4,4,Sad,0.0,Male,4,2 4,2 4,2 4
control,403,34,5,5,Angry,0.0,Male,5,5,5,5
control,403,242,2,2,Calm,1.0,Female,2,2,2,2
control,403,97,3,8,Surprised,0.0,Male,8,1 3 6 8,1 3 8,1 3 8
control,403,305,8,8,Surprised,1.0,Female,8,3 8,8,8
control,403,86,1,7,Disgust,1.0,Female,2,2,2,2
control,403,175,2,2,Calm,1.0,Female,2,1 2,1 2,1 2
control,403,220,3,3,Happy,1.0,Female,1,1 2,1 2 4,1 2
control,403,18,4,4,Sad,0.0,Male,2,1 2 4,1 2 4,1 2 4
control,403,234,5,5,Angry,1.0,Female,5,5,5,5
control,403,285,3,4,Sad,0.0,Male,4,2 4,2 4,2 4
control,404,300,4,4,Sad,1.0,Female,2,2 4,2 4,2 4
control,404,23,8,8,Surprised,1.0,Female,8,3 8,3 8,3 8
control,404,110,6,6,Fearful,0.0,Male,6,3 4 6,3 4 6,3 4 6
control,404,57,2,2,Calm,0.0,Male,2,2,2,1 2
control,404,61,6,6,Fearful,0.0,Male,6,3 6 8,3 6 8,3 6 8
control,404,178,7,5,Angry,1.0,Female,5,5 8,1 5 8,5 8
control,404,290,6,3,Happy,1.0,Female,6,3 6,3 4 6,3 6
control,404,226,2,4,Sad,0.0,Male,2,2,2,1 2 4
control,404,45,7,7,Disgust,1.0,Female,7,7,7,7
control,404,286,7,7,Disgust,0.0,Male,7,4 7,7,4 7
control,404,218,1,3,Happy,0.0,Male,1,1 2,1 2 8,1 2 8
control,404,33,8,8,Surprised,0.0,Male,8,3 8,3 8,3 8
control,404,44,6,6,Fearful,0.0,Male,3,3 4 6,3 4 6,3 4 6
control,404,267,1,1,Neutral,0.0,Male,2,1 2,1 2,1 2
control,404,205,3,3,Happy,1.0,Female,1,1 3 4 8,1 3 8,1 3 8
control,404,34,6,5,Angry,0.0,Male,5,5,5,5
control,404,254,1,3,Happy,0.0,Male,1,1 2,1 2 4,1 2 4
control,404,285,6,4,Sad,0.0,Male,4,2 4,2 4,2 4
control,404,5,4,4,Sad,0.0,Male,4,2 4,2 4,2 4
control,404,305,8,8,Surprised,1.0,Female,8,3 8,8,8
control,404,175,1,2,Calm,1.0,Female,2,1 2,1 2,1 2
control,404,343,7,5,Angry,1.0,Female,5,5,5,5
control,404,86,1,7,Disgust,1.0,Female,2,2,2,2
control,404,30,7,2,Calm,1.0,Female,2,2,2,2
control,404,70,2,2,Calm,0.0,Male,2,2,2,1 2
control,404,59,6,6,Fearful,1.0,Female,6,3 4 6,3 4 6,3 4 6
control,404,119,6,6,Fearful,0.0,Male,8,3 8,3 8,3 6 8
control,404,94,5,5,Angry,1.0,Female,5,5,5,5
control,404,242,2,2,Calm,1.0,Female,2,2,2,2
control,404,215,4,4,Sad,0.0,Male,4,3 4,3 4,3 4 6
control,404,97,8,8,Surprised,0.0,Male,8,1 3 6 8,1 3 8,1 3 8
control,404,246,4,3,Happy,1.0,Female,1,1 3 4 8,1 3 4,1 3 4
control,404,2,6,6,Fearful,1.0,Female,6,3 6,3 6,3 6
control,404,337,8,8,Surprised,1.0,Female,1,1 3 8,1 3 8,1 3 8
control,404,147,1,3,Happy,0.0,Male,1,1 2,1 2,1 2 4
control,404,249,7,7,Disgust,0.0,Male,7,7,7,7
control,404,245,5,5,Angry,1.0,Female,5,5,5,5
control,404,201,5,5,Angry,0.0,Male,5,5,5,5
control,404,51,7,8,Surprised,0.0,Male,1,1 3 8,1 3 8,1 3 8
control,404,139,6,6,Fearful,1.0,Female,6,3 6,3 6,3 6
control,404,272,7,5,Angry,1.0,Female,5,5 8,5 8,5 8
control,404,164,2,2,Calm,1.0,Female,2,1 2,1 2,2
control,404,357,4,4,Sad,1.0,Female,4,2 4,4,4
control,404,220,3,3,Happy,1.0,Female,1,1 2,1 2 4,1 2
control,404,222,8,8,Surprised,0.0,Male,8,3 8,3 8,1 3 8
control,404,103,2,2,Calm,0.0,Male,2,2,2,1 2
control,404,18,4,4,Sad,0.0,Male,2,1 2 4,1 2 4,1 2 4
control,404,234,5,5,Angry,1.0,Female,5,5,5,5
control,404,310,6,7,Disgust,1.0,Female,7,5 7,5 7,7
control,404,144,1,1,Neutral,0.0,Male,2,1 2,1 2,1 2
control,405,154,8,7,Disgust,0.0,Male,7,4 7,2 4 7,2 4 7
control,405,239,8,8,Surprised,0.0,Male,8,3 8,3 8,3 8
control,405,69,3,8,Surprised,0.0,Male,8,3 5 6 8,3 6 8,3 6 8
control,405,18,4,4,Sad,0.0,Male,2,1 2 4,1 2 4,1 2 4
control,405,128,7,7,Disgust,1.0,Female,7,7,7,7
control,405,309,6,6,Fearful,0.0,Male,6,3 5 6 8,3 6 8,3 6 8
control,405,232,4,4,Sad,0.0,Male,4,2 4,2 4,1 2 4
control,405,288,8,8,Surprised,1.0,Female,8,3 8,3 8,8
control,405,160,5,5,Angry,1.0,Female,5,5,5,5
control,405,281,3,3,Happy,0.0,Male,8,3 6 8,3 6 8,3 6 8
control,405,226,2,4,Sad,0.0,Male,2,2,2,1 2 4
control,405,5,4,4,Sad,0.0,Male,4,2 4,2 4,2 4
control,405,185,6,6,Fearful,1.0,Female,6,3 6,3 6,3 6
control,405,247,4,4,Sad,1.0,Female,4,3 4 6,3 4,3 4 6
control,405,234,7,5,Angry,1.0,Female,5,5,5,5
control,405,291,7,7,Disgust,1.0,Female,7,5 7,5 7,5 7
control,405,220,3,3,Happy,1.0,Female,1,1 2,1 2 4,1 2
control,405,350,7,7,Disgust,1.0,Female,7,5 7,5 7,7
control,405,255,6,6,Fearful,1.0,Female,6,3 4 6,3 4 6,3 6
control,405,249,7,7,Disgust,0.0,Male,7,7,7,7
control,405,333,1,1,Neutral,0.0,Male,2,1 2,1 2,1 2
control,405,90,7,5,Angry,1.0,Female,5,2 5 7,2 5 7,2 5 7
control,405,190,4,4,Sad,1.0,Female,4,4,4,4
control,405,343,7,5,Angry,1.0,Female,5,5,5,5
control,405,205,1,3,Happy,1.0,Female,1,1 3 4 8,1 3 8,1 3 8
control,405,114,2,2,Calm,1.0,Female,2,1 2,1 2,2
control,405,283,1,1,Neutral,0.0,Male,1,1 2,1 2,1 2 4
control,405,307,3,3,Happy,1.0,Female,3,3 4 6,3 4 6,3 4 6
control,405,238,8,8,Surprised,0.0,Male,8,3 8,8,3 8
control,405,141,7,7,Disgust,0.0,Male,7,7,7,2 4 7
control,405,178,5,5,Angry,1.0,Female,5,5 8,1 5 8,5 8
control,405,144,1,1,Neutral,0.0,Male,2,1 2,1 2,1 2
control,405,300,7,4,Sad,1.0,Female,2,2 4,2 4,2 4
control,405,274,2,6,Fearful,0.0,Male,3,3 4 6,3 4 6,3 4 6
control,405,143,4,7,Disgust,0.0,Male,7,7,7,7
control,405,82,8,6,Fearful,0.0,Male,4,3 4 6,3 4 6,3 4 6
control,405,180,5,5,Angry,1.0,Female,5,5,5,5
control,405,358,8,3,Happy,1.0,Female,6,3 6 8,3 6 8,3 6 8
control,405,230,2,2,Calm,0.0,Male,2,2,2,1 2
control,405,106,7,7,Disgust,0.0,Male,7,7,7,5 7
control,405,148,2,2,Calm,1.0,Female,2,2,2 4,2
control,405,318,6,6,Fearful,1.0,Female,6,3 6 8,3 6 8,3 6
control,405,67,2,2,Calm,0.0,Male,2,2 4,2 4,2 4 7
control,405,313,5,5,Angry,0.0,Male,5,5,5,5
control,405,174,5,5,Angry,0.0,Male,5,5,5,5
control,405,298,8,8,Surprised,0.0,Male,8,1 3 8,1 3 8,1 3 8
control,405,51,1,8,Surprised,0.0,Male,1,1 3 8,1 3 8,1 3 8
control,405,189,4,4,Sad,1.0,Female,2,2 4,1 2 4,2 4
control,405,177,3,3,Happy,1.0,Female,1,1 2 4,1 2 4,1 2 4
control,405,117,7,4,Sad,1.0,Female,2,2,2,2
control,406,43,6,6,Fearful,0.0,Male,6,3 6,3 6,3 6 8
control,406,339,2,4,Sad,0.0,Male,2,2 4,2 4,1 2 4
control,406,70,2,2,Calm,0.0,Male,2,2,2,1 2
control,406,267,1,1,Neutral,0.0,Male,2,1 2,1 2,1 2
control,406,274,6,6,Fearful,0.0,Male,3,3 4 6,3 4 6,3 4 6
control,406,180,5,5,Angry,1.0,Female,5,5,5,5
control,406,144,1,1,Neutral,0.0,Male,2,1 2,1 2,1 2
control,406,244,1,3,Happy,1.0,Female,4,1 3 4 6,1 3 4,1 3 4
control,406,210,2,1,Neutral,1.0,Female,2,1 2,1 2,1 2
control,406,152,4,4,Sad,0.0,Male,4,4,4,2 4
control,406,214,8,8,Surprised,0.0,Male,8,3 6 8,3 6 8,3 6 8
control,406,155,4,4,Sad,1.0,Female,2,2,2,2
control,406,143,7,7,Disgust,0.0,Male,7,7,7,7
control,406,238,8,8,Surprised,0.0,Male,8,3 8,8,3 8
control,406,239,7,8,Surprised,0.0,Male,8,3 8,3 8,3 8
control,406,262,3,3,Happy,0.0,Male,1,1 2,1 2 4,1 2 4
control,406,347,4,4,Sad,0.0,Male,4,1 2 3 4,1 2 4,1 2 4
control,406,329,5,5,Angry,0.0,Male,5,5,5,5
control,406,192,5,5,Angry,1.0,Female,5,5,5,5
control,406,87,8,8,Surprised,0.0,Male,8,3 8,3 8,3 6 8
control,406,331,2,1,Neutral,0.0,Male,2,1 2,1 2,1 2
control,406,10,6,6,Fearful,1.0,Female,6,3 6 8,3 6 8,3 6
control,406,197,7,7,Disgust,1.0,Female,7,7,7,7
control,406,285,4,4,Sad,0.0,Male,4,2 4,2 4,2 4
control,406,268,2,2,Calm,0.0,Male,2,1 2,2,1 2
control,406,313,5,5,Angry,0.0,Male,5,5,5,5
control,406,64,2,2,Calm,1.0,Female,2,2,2,2
control,406,217,8,8,Surprised,1.0,Female,8,8,8,8
control,406,60,1,3,Happy,0.0,Male,1,1 2,1 2,1 2 4
control,406,15,4,4,Sad,1.0,Female,4,2 4,2 4 7,2 4
control,406,157,5,7,Disgust,1.0,Female,7,7,7,7
control,406,237,5,5,Angry,1.0,Female,5,5,5,5
control,406,8,1,8,Surprised,0.0,Male,4,1 2 4,1 2 4,1 2 4
control,406,102,1,3,Happy,1.0,Female,1,1 2,1 2 4,1 2
control,406,199,6,4,Sad,0.0,Male,4,2 4,2 4,1 2 4
control,406,243,4,2,Calm,0.0,Male,2,2,2,1 2
control,406,174,5,5,Angry,0.0,Male,5,5,5,5
control,406,219,8,7,Disgust,0.0,Male,7,7,7,5 7
control,406,321,8,8,Surprised,1.0,Female,8,3 8,3 8,8
control,406,123,2,2,Calm,0.0,Male,2,1 2,2,1 2
control,406,21,7,7,Disgust,1.0,Female,7,7,7,7
control,406,42,6,6,Fearful,0.0,Male,6,3 6,3 6,3 6 8
control,406,352,7,7,Disgust,1.0,Female,7,5 7,5 7,7
control,406,309,6,6,Fearful,0.0,Male,6,3 5 6 8,3 6 8,3 6 8
control,406,290,3,3,Happy,1.0,Female,6,3 6,3 4 6,3 6
control,406,153,2,1,Neutral,1.0,Female,2,1 2,1 2,1 2
control,406,122,5,5,Angry,1.0,Female,5,5,5,5
control,406,101,7,7,Disgust,0.0,Male,7,5 7,5 7,5 7
control,406,30,1,2,Calm,1.0,Female,2,2,2,2
control,406,75,5,5,Angry,0.0,Male,5,5,5,5
control,407,77,2,2,Calm,1.0,Female,2,1 2,2,2
control,407,134,5,5,Angry,1.0,Female,5,5,5,5
control,407,220,3,3,Happy,1.0,Female,1,1 2,1 2 4,1 2
control,407,97,1,8,Surprised,0.0,Male,8,1 3 6 8,1 3 8,1 3 8
control,407,310,6,7,Disgust,1.0,Female,7,5 7,5 7,7
control,407,194,6,6,Fearful,1.0,Female,6,3 5 6,3 5 6,3 5 6
control,407,10,7,6,Fearful,1.0,Female,6,3 6 8,3 6 8,3 6
control,407,187,8,6,Fearful,1.0,Female,6,3 4 6,3 4 6,3 4 6
control,407,271,6,6,Fearful,1.0,Female,6,3 6,3 6,3 6
control,407,104,3,3,Happy,0.0,Male,6,3 5 6 8,3 5 6,3 5 6
control,407,74,2,2,Calm,0.0,Male,2,2,2,1 2
control,407,235,5,5,Angry,0.0,Male,5,5,5,5
control,407,161,8,8,Surprised,1.0,Female,8,3 8,1 3 8,8
control,407,42,6,6,Fearful,0.0,Male,6,3 6,3 6,3 6 8
control,407,214,8,8,Surprised,0.0,Male,8,3 6 8,3 6 8,3 6 8
control,407,52,7,7,Disgust,0.0,Male,7,7,7,7
control,407,152,4,4,Sad,0.0,Male,4,4,4,2 4
control,407,215,4,4,Sad,0.0,Male,4,3 4,3 4,3 4 6
control,407,272,5,5,Angry,1.0,Female,5,5 8,5 8,5 8
control,407,181,2,2,Calm,1.0,Female,2,2,2,2
control,407,89,8,8,Surprised,1.0,Female,8,3 8,3 8,3 8
control,407,78,1,1,Neutral,0.0,Male,2,1 2,1 2,1 2 4
control,407,300,2,4,Sad,1.0,Female,2,2 4,2 4,2 4
control,407,354,5,5,Angry,1.0,Female,5,5,5,5
control,407,329,5,5,Angry,0.0,Male,5,5,5,5
control,407,68,1,8,Surprised,0.0,Male,8,1 3 4 6 8,3 6 8,3 6 8
control,407,290,3,3,Happy,1.0,Female,6,3 6,3 4 6,3 6
control,407,100,8,8,Surprised,1.0,Female,8,3 8,3 8,8
control,407,293,1,3,Happy,0.0,Male,1,1 2,1 2 4,1 2 4
control,407,75,6,5,Angry,0.0,Male,5,5,5,5
control,407,203,5,7,Disgust,1.0,Female,7,5 7,5 7,5 7
control,407,45,7,7,Disgust,1.0,Female,7,7,7,7
control,407,281,3,3,Happy,0.0,Male,8,3 6 8,3 6 8,3 6 8
control,407,182,6,3,Happy,1.0,Female,3,3 5 6 8,3 6 8,3 6 8
control,407,260,2,3,Happy,0.0,Male,2,1 2,1 2,1 2
control,407,172,2,2,Calm,1.0,Female,2,2,2,2
control,407,330,1,2,Calm,1.0,Female,2,1 2,1 2,2
control,407,312,2,2,Calm,1.0,Female,2,2,2 4,2
control,407,14,5,8,Surprised,0.0,Male,8,3 6 8,3 6 8,3 6 8
control,407,122,5,5,Angry,1.0,Female,5,5,5,5
control,407,276,2,8,Surprised,0.0,Male,8,1 3 8,1 3 8,1 3 8
control,407,291,7,7,Disgust,1.0,Female,7,5 7,5 7,5 7
control,407,229,4,4,Sad,1.0,Female,4,4,4 6,4
control,407,320,4,6,Fearful,1.0,Female,4,4,2 4,4
