experiment,participant_id,prompt_idx,response,label,label_text,group,group_text,top1,avgk_set,conformal_marginal_set,conformal_conditional_set
control,0,591,2,2,Photographer,1.0,Male,2,2 8 ,2 4 8 0 ,2 8 0 
control,0,1915,9,9,Model,0.0,Female,9,9 ,9 ,9 
control,0,638,4,3,Journalist,0.0,Female,4,4 5 ,4 5 0 ,4 5 
control,0,1476,7,7,Surgeon,1.0,Male,7,7 ,7 ,6 7 
control,0,873,4,4,Psychologist,1.0,Male,4,4 6 ,4 6 ,4 6 
control,0,1016,0,5,Teacher,1.0,Male,5,5 0 ,4 5 0 ,4 5 0 
control,0,1798,2,8,Painter,1.0,Male,8,2 8 ,2 8 ,2 8 
control,0,1249,6,6,Dentist,0.0,Female,6,6 ,6 7 ,6 
control,0,310,7,1,Physician,1.0,Male,1,1 7 ,1 6 7 ,1 7 
control,0,633,3,3,Journalist,0.0,Female,3,3 ,3 ,3 
control,0,1204,6,6,Dentist,1.0,Male,6,6 ,6 ,1 6 
control,1,837,4,4,Psychologist,0.0,Female,4,4 ,4 ,4 
control,1,94,5,0,Professor,0.0,Female,0,2 5 0 ,2 5 0 ,5 0 
control,1,894,4,4,Psychologist,1.0,Male,4,4 ,4 ,4 0 
control,1,631,3,3,Journalist,1.0,Male,3,3 ,3 ,2 3 
control,1,1405,7,7,Surgeon,1.0,Male,7,7 ,7 ,1 7 
control,1,1501,1,7,Surgeon,1.0,Male,7,1 6 7 ,1 6 7 ,1 6 7 
control,1,1768,8,8,Painter,0.0,Female,5,2 3 5 ,2 3 5 8 ,2 3 5 
control,1,437,2,2,Photographer,0.0,Female,2,2 ,2 ,2 
control,1,643,3,3,Journalist,1.0,Male,3,3 ,3 ,3 
control,1,1759,8,8,Painter,0.0,Female,8,8 ,8 ,8 
control,1,543,2,2,Photographer,0.0,Female,2,2 9 ,2 3 4 9 ,2 4 9 
control,1,254,7,1,Physician,0.0,Female,1,1 ,1 ,1 
control,1,1327,6,6,Dentist,0.0,Female,6,1 6 7 ,1 6 ,1 6 
control,1,1809,9,9,Model,0.0,Female,9,9 ,9 ,9 
control,1,1148,3,5,Teacher,1.0,Male,2,2 8 ,2 8 ,2 8 
control,1,1792,8,8,Painter,1.0,Male,8,8 ,8 ,8 
control,1,1590,1,7,Surgeon,1.0,Male,7,7 ,7 ,6 7 
control,1,1153,5,5,Teacher,1.0,Male,2,2 3 ,2 3 5 ,2 3 5 
control,1,1658,8,8,Painter,1.0,Male,8,2 8 ,2 5 8 ,2 5 8 
control,1,403,0,2,Photographer,1.0,Male,2,2 5 ,2 3 5 9 ,2 3 5 9 
control,1,432,2,2,Photographer,1.0,Male,2,2 ,2 9 ,2 9 
control,1,1038,5,5,Teacher,0.0,Female,5,5 ,5 ,5 
control,1,330,7,1,Physician,0.0,Female,1,1 6 ,1 6 ,1 
control,1,11,7,0,Professor,1.0,Male,0,1 0 ,1 0 ,1 0 
control,1,971,4,4,Psychologist,0.0,Female,0,0 ,0 ,0 
control,1,1109,5,5,Teacher,0.0,Female,5,5 ,5 ,5 
control,1,1888,0,9,Model,0.0,Female,3,3 9 ,1 3 4 7 9 ,3 7 9 
control,1,498,2,2,Photographer,1.0,Male,2,2 ,2 ,2 
control,1,10,5,0,Professor,0.0,Female,0,0 ,0 ,0 
control,1,976,4,4,Psychologist,0.0,Female,4,1 4 ,4 ,4 
control,1,833,4,4,Psychologist,1.0,Male,4,4 ,4 ,4 
control,1,1941,9,9,Model,0.0,Female,9,9 ,9 ,9 
control,1,763,3,3,Journalist,1.0,Male,3,3 ,3 ,3 
control,1,1918,9,9,Model,1.0,Male,9,5 9 ,2 5 9 ,2 5 9 0 
control,1,224,7,1,Physician,0.0,Female,1,1 6 ,1 6 ,1 6 
control,1,1373,6,6,Dentist,0.0,Female,6,6 ,6 ,6 
control,1,103,1,0,Professor,1.0,Male,0,0 ,0 ,4 0 
control,1,1157,5,5,Teacher,0.0,Female,5,1 5 0 ,5 0 ,5 0 
control,1,669,3,3,Journalist,1.0,Male,3,2 3 ,2 3 ,2 3 
control,1,1949,3,9,Model,0.0,Female,9,3 9 ,3 9 ,3 9 
control,1,664,3,3,Journalist,1.0,Male,3,2 3 0 ,1 2 3 0 ,1 2 3 0 
control,1,138,3,0,Professor,1.0,Male,3,3 0 ,3 5 0 ,3 4 5 0 
control,1,266,7,1,Physician,0.0,Female,1,1 6 ,1 ,1 
control,1,1294,6,6,Dentist,0.0,Female,6,6 ,6 ,6 
control,1,1487,0,7,Surgeon,0.0,Female,0,0 ,4 0 ,4 0 
control,1,1277,6,6,Dentist,1.0,Male,6,6 ,6 ,6 7 
control,1,1505,3,7,Surgeon,1.0,Male,3,3 5 ,3 5 ,3 5 
control,1,267,1,1,Physician,0.0,Female,1,1 6 ,1 6 ,1 
control,1,1229,6,6,Dentist,0.0,Female,6,6 7 ,6 7 ,6 7 
control,1,1777,8,8,Painter,0.0,Female,8,8 ,8 ,8 
control,2,1557,7,7,Surgeon,1.0,Male,7,7 ,7 ,1 7 
control,2,11,1,0,Professor,1.0,Male,0,1 0 ,1 0 ,1 0 
control,2,867,4,4,Psychologist,0.0,Female,4,4 ,4 ,4 
control,2,43,0,0,Professor,0.0,Female,0,0 ,0 ,4 0 
control,2,971,4,4,Psychologist,0.0,Female,0,0 ,0 ,0 
control,2,1225,6,6,Dentist,1.0,Male,6,6 7 ,6 7 ,6 7 
control,2,1759,8,8,Painter,0.0,Female,8,8 ,8 ,8 
control,2,403,4,2,Photographer,1.0,Male,2,2 5 ,2 3 5 9 ,2 3 5 9 
control,2,1104,5,5,Teacher,0.0,Female,5,5 ,5 ,5 
control,2,669,2,3,Journalist,1.0,Male,3,2 3 ,2 3 ,2 3 
control,2,837,4,4,Psychologist,0.0,Female,4,4 ,4 ,4 
control,2,95,0,0,Professor,0.0,Female,0,0 ,0 ,0 
control,2,266,1,1,Physician,0.0,Female,1,1 6 ,1 ,1 
control,2,262,1,1,Physician,0.0,Female,1,1 ,1 6 ,1 6 
control,2,1658,8,8,Painter,1.0,Male,8,2 8 ,2 5 8 ,2 5 8 
control,2,1646,8,8,Painter,0.0,Female,2,2 ,2 5 8 ,2 8 
control,2,951,4,4,Psychologist,1.0,Male,4,4 ,4 ,4 
control,2,255,7,1,Physician,0.0,Female,1,1 6 ,1 6 ,1 
control,2,706,3,3,Journalist,1.0,Male,3,3 ,3 ,3 
control,2,542,2,2,Photographer,0.0,Female,2,2 ,2 ,2 
control,2,1833,9,9,Model,0.0,Female,2,2 3 5 9 ,2 3 5 9 ,2 3 9 
control,2,1326,6,6,Dentist,0.0,Female,6,6 ,6 ,6 
control,2,138,3,0,Professor,1.0,Male,3,3 0 ,3 5 0 ,3 4 5 0 
control,2,1153,2,5,Teacher,1.0,Male,2,2 3 ,2 3 5 ,2 3 5 
control,2,631,3,3,Journalist,1.0,Male,3,3 ,3 ,2 3 
control,2,1147,5,5,Teacher,0.0,Female,5,5 ,5 ,5 
control,2,832,4,4,Psychologist,1.0,Male,4,4 ,4 ,4 
control,2,1918,9,9,Model,1.0,Male,9,5 9 ,2 5 9 ,2 5 9 0 
control,2,1372,6,6,Dentist,0.0,Female,6,6 ,6 ,6 
control,2,643,3,3,Journalist,1.0,Male,3,3 ,3 ,3 
control,2,1487,0,7,Surgeon,0.0,Female,0,0 ,4 0 ,4 0 
control,2,498,2,2,Photographer,1.0,Male,2,2 ,2 ,2 
control,2,432,2,2,Photographer,1.0,Male,2,2 ,2 9 ,2 9 
control,2,1501,1,7,Surgeon,1.0,Male,7,1 6 7 ,1 6 7 ,1 6 7 
control,2,267,7,1,Physician,0.0,Female,1,1 6 ,1 6 ,1 
control,2,402,3,2,Photographer,1.0,Male,2,2 ,2 ,2 
control,2,1888,7,9,Model,0.0,Female,3,3 9 ,1 3 4 7 9 ,3 7 9 
control,2,1949,3,9,Model,0.0,Female,9,3 9 ,3 9 ,3 9 
control,2,1229,6,6,Dentist,0.0,Female,6,6 7 ,6 7 ,6 7 
control,2,10,0,0,Professor,0.0,Female,0,0 ,0 ,0 
control,2,1157,0,5,Teacher,0.0,Female,5,1 5 0 ,5 0 ,5 0 
control,2,330,1,1,Physician,0.0,Female,1,1 6 ,1 6 ,1 
control,2,1590,7,7,Surgeon,1.0,Male,7,7 ,7 ,6 7 
control,2,1777,0,8,Painter,0.0,Female,8,8 ,8 ,8 
control,2,1810,9,9,Model,0.0,Female,9,9 ,9 ,9 
control,2,1405,7,7,Surgeon,1.0,Male,7,7 ,7 ,1 7 
control,2,1734,2,8,Painter,1.0,Male,8,8 ,8 ,8 
control,2,1038,5,5,Teacher,0.0,Female,5,5 ,5 ,5 
control,2,664,3,3,Journalist,1.0,Male,3,2 3 0 ,1 2 3 0 ,1 2 3 0 
control,2,1293,6,6,Dentist,1.0,Male,6,6 ,6 ,6 
control,3,342,7,1,Physician,1.0,Male,0,1 0 ,0 ,1 0 
control,3,1560,7,7,Surgeon,0.0,Female,6,1 6 7 ,1 6 7 0 ,1 6 7 0 
control,3,433,2,2,Photographer,0.0,Female,2,2 ,2 ,2 
control,3,1965,1,9,Model,1.0,Male,3,3 6 ,2 3 6 ,2 3 6 
control,3,103,0,0,Professor,1.0,Male,0,0 ,0 ,4 0 
control,3,1406,6,7,Surgeon,1.0,Male,7,1 6 7 ,1 6 7 0 ,1 6 7 0 
control,3,973,4,4,Psychologist,0.0,Female,4,4 ,4 6 ,4 
control,3,1273,6,6,Dentist,0.0,Female,6,6 ,6 ,6 
control,3,982,4,4,Psychologist,0.0,Female,4,4 ,4 ,4 
control,3,1976,9,9,Model,0.0,Female,3,3 5 9 ,2 3 5 9 ,3 5 9 
control,3,1639,2,8,Painter,1.0,Male,2,2 8 ,2 8 ,2 8 
control,3,21,0,0,Professor,0.0,Female,0,0 ,0 ,0 
control,3,669,3,3,Journalist,1.0,Male,3,2 3 ,2 3 ,2 3 
control,3,637,3,3,Journalist,0.0,Female,3,2 3 ,2 3 5 ,2 3 
control,3,16,1,0,Professor,1.0,Male,5,5 ,5 ,5 
control,3,1657,8,8,Painter,1.0,Male,5,5 8 9 ,5 8 9 ,5 8 9 
control,3,229,7,1,Physician,0.0,Female,1,1 ,1 ,1 
control,3,1278,6,6,Dentist,1.0,Male,6,6 7 ,6 7 ,6 7 
control,3,1941,9,9,Model,0.0,Female,9,9 ,9 ,9 
control,3,1505,3,7,Surgeon,1.0,Male,3,3 5 ,3 5 ,3 5 
control,3,11,0,0,Professor,1.0,Male,0,1 0 ,1 0 ,1 0 
control,3,494,2,2,Photographer,0.0,Female,2,2 9 ,2 9 ,2 9 
control,3,895,4,4,Psychologist,0.0,Female,4,4 0 ,3 4 0 ,4 0 
control,3,1399,6,6,Dentist,1.0,Male,6,6 ,6 ,6 7 
control,3,1294,6,6,Dentist,0.0,Female,6,6 ,6 ,6 
control,3,225,7,1,Physician,0.0,Female,1,1 ,1 ,1 
control,3,1190,5,5,Teacher,1.0,Male,0,0 ,5 0 ,5 0 
control,3,59,0,0,Professor,0.0,Female,0,0 ,0 ,0 
control,3,437,2,2,Photographer,0.0,Female,2,2 ,2 ,2 
control,3,719,3,3,Journalist,1.0,Male,5,5 9 ,5 9 ,5 9 
control,3,1768,3,8,Painter,0.0,Female,5,2 3 5 ,2 3 5 8 ,2 3 5 
control,3,304,7,1,Physician,1.0,Male,1,1 6 7 ,1 7 ,1 
control,3,686,3,3,Journalist,0.0,Female,3,3 ,3 ,3 
control,3,235,7,1,Physician,0.0,Female,1,1 ,1 ,1 
control,3,765,3,3,Journalist,0.0,Female,3,3 ,3 ,3 
control,3,1296,1,6,Dentist,1.0,Male,7,7 ,5 7 ,5 7 
control,3,849,0,4,Psychologist,0.0,Female,4,4 0 ,4 0 ,4 
control,3,1110,5,5,Teacher,0.0,Female,5,3 5 ,3 5 ,5 
control,3,549,2,2,Photographer,1.0,Male,2,2 ,2 ,2 
control,3,1039,8,5,Teacher,1.0,Male,3,2 3 9 ,2 3 5 9 ,2 3 9 
control,3,877,3,4,Psychologist,0.0,Female,3,3 4 5 ,3 4 5 ,3 4 5 
control,3,1673,8,8,Painter,1.0,Male,8,8 ,8 ,8 
control,3,1888,1,9,Model,0.0,Female,3,3 9 ,1 3 4 7 9 ,3 7 9 
control,3,1583,6,7,Surgeon,1.0,Male,3,3 7 ,3 7 ,3 7 
control,3,1009,3,5,Teacher,1.0,Male,3,2 3 ,2 3 ,2 3 4 
control,3,1609,3,8,Painter,0.0,Female,8,8 ,8 0 ,8 
control,3,508,2,2,Photographer,1.0,Male,2,2 ,2 ,2 
control,3,1995,9,9,Model,0.0,Female,9,9 ,9 ,9 
control,3,1135,5,5,Teacher,0.0,Female,5,5 9 ,5 ,5 
control,3,1401,7,7,Surgeon,1.0,Male,1,1 7 ,1 7 ,1 7 
control,4,1792,8,8,Painter,1.0,Male,8,8 ,8 ,8 
control,4,1038,5,5,Teacher,0.0,Female,5,5 ,5 ,5 
control,4,1505,3,7,Surgeon,1.0,Male,3,3 5 ,3 5 ,3 5 
control,4,1777,1,8,Painter,0.0,Female,8,8 ,8 ,8 
control,4,1590,1,7,Surgeon,1.0,Male,7,7 ,7 ,6 7 
control,4,837,4,4,Psychologist,0.0,Female,4,4 ,4 ,4 
control,4,432,2,2,Photographer,1.0,Male,2,2 ,2 9 ,2 9 
control,4,1809,9,9,Model,0.0,Female,9,9 ,9 ,9 
control,4,437,2,2,Photographer,0.0,Female,2,2 ,2 ,2 
control,4,403,3,2,Photographer,1.0,Male,2,2 5 ,2 3 5 9 ,2 3 5 9 
control,4,267,7,1,Physician,0.0,Female,1,1 6 ,1 6 ,1 
control,4,1153,2,5,Teacher,1.0,Male,2,2 3 ,2 3 5 ,2 3 5 
control,4,1327,6,6,Dentist,0.0,Female,6,1 6 7 ,1 6 ,1 6 
control,4,1759,8,8,Painter,0.0,Female,8,8 ,8 ,8 
control,4,1949,9,9,Model,0.0,Female,9,3 9 ,3 9 ,3 9 
control,4,1768,3,8,Painter,0.0,Female,5,2 3 5 ,2 3 5 8 ,2 3 5 
control,4,266,1,1,Physician,0.0,Female,1,1 6 ,1 ,1 
control,4,498,2,2,Photographer,1.0,Male,2,2 ,2 ,2 
control,4,1148,3,5,Teacher,1.0,Male,2,2 8 ,2 8 ,2 8 
control,4,330,1,1,Physician,0.0,Female,1,1 6 ,1 6 ,1 
control,4,138,3,0,Professor,1.0,Male,3,3 0 ,3 5 0 ,3 4 5 0 
control,4,224,1,1,Physician,0.0,Female,1,1 6 ,1 6 ,1 6 
control,4,1157,5,5,Teacher,0.0,Female,5,1 5 0 ,5 0 ,5 0 
control,4,11,7,0,Professor,1.0,Male,0,1 0 ,1 0 ,1 0 
control,4,1501,1,7,Surgeon,1.0,Male,7,1 6 7 ,1 6 7 ,1 6 7 
control,4,833,4,4,Psychologist,1.0,Male,4,4 ,4 ,4 
control,4,631,3,3,Journalist,1.0,Male,3,3 ,3 ,2 3 
control,4,10,3,0,Professor,0.0,Female,0,0 ,0 ,0 
control,4,1658,8,8,Painter,1.0,Male,8,2 8 ,2 5 8 ,2 5 8 
control,4,103,4,0,Professor,1.0,Male,0,0 ,0 ,4 0 
control,4,1229,6,6,Dentist,0.0,Female,6,6 7 ,6 7 ,6 7 
control,4,1888,0,9,Model,0.0,Female,3,3 9 ,1 3 4 7 9 ,3 7 9 
control,4,763,3,3,Journalist,1.0,Male,3,3 ,3 ,3 
control,4,1294,1,6,Dentist,0.0,Female,6,6 ,6 ,6 
control,4,543,2,2,Photographer,0.0,Female,2,2 9 ,2 3 4 9 ,2 4 9 
control,4,894,4,4,Psychologist,1.0,Male,4,4 ,4 ,4 0 
control,4,1941,9,9,Model,0.0,Female,9,9 ,9 ,9 
control,4,1918,9,9,Model,1.0,Male,9,5 9 ,2 5 9 ,2 5 9 0 
control,4,664,9,3,Journalist,1.0,Male,3,2 3 0 ,1 2 3 0 ,1 2 3 0 
control,4,643,2,3,Journalist,1.0,Male,3,3 ,3 ,3 
control,4,1277,6,6,Dentist,1.0,Male,6,6 ,6 ,6 7 
control,4,254,1,1,Physician,0.0,Female,1,1 ,1 ,1 
control,4,1373,6,6,Dentist,0.0,Female,6,6 ,6 ,6 
control,4,976,4,4,Psychologist,0.0,Female,4,1 4 ,4 ,4 
control,4,971,5,4,Psychologist,0.0,Female,0,0 ,0 ,0 
control,4,1405,7,7,Surgeon,1.0,Male,7,7 ,7 ,1 7 
control,4,1487,1,7,Surgeon,0.0,Female,0,0 ,4 0 ,4 0 
control,4,669,0,3,Journalist,1.0,Male,3,2 3 ,2 3 ,2 3 
control,4,94,2,0,Professor,0.0,Female,0,2 5 0 ,2 5 0 ,5 0 
control,4,1109,0,5,Teacher,0.0,Female,5,5 ,5 ,5 
control,5,1590,8,7,Surgeon,1.0,Male,7,7 ,7 ,6 7 
control,5,1810,9,9,Model,0.0,Female,9,9 ,9 ,9 
control,5,43,0,0,Professor,0.0,Female,0,0 ,0 ,4 0 
control,5,1229,0,6,Dentist,0.0,Female,6,6 7 ,6 7 ,6 7 
control,5,951,5,4,Psychologist,1.0,Male,4,4 ,4 ,4 
control,5,1147,5,5,Teacher,0.0,Female,5,5 ,5 ,5 
control,5,266,1,1,Physician,0.0,Female,1,1 6 ,1 ,1 
control,5,1293,6,6,Dentist,1.0,Male,6,6 ,6 ,6 
control,5,1759,8,8,Painter,0.0,Female,8,8 ,8 ,8 
control,5,971,0,4,Psychologist,0.0,Female,0,0 ,0 ,0 
control,5,267,7,1,Physician,0.0,Female,1,1 6 ,1 6 ,1 
control,5,1888,9,9,Model,0.0,Female,3,3 9 ,1 3 4 7 9 ,3 7 9 
control,5,1777,8,8,Painter,0.0,Female,8,8 ,8 ,8 
control,5,1734,8,8,Painter,1.0,Male,8,8 ,8 ,8 
control,5,1157,0,5,Teacher,0.0,Female,5,1 5 0 ,5 0 ,5 0 
control,5,1405,0,7,Surgeon,1.0,Male,7,7 ,7 ,1 7 
control,5,1658,8,8,Painter,1.0,Male,8,2 8 ,2 5 8 ,2 5 8 
control,5,837,4,4,Psychologist,0.0,Female,4,4 ,4 ,4 
control,5,1153,1,5,Teacher,1.0,Male,2,2 3 ,2 3 5 ,2 3 5 
control,5,1557,1,7,Surgeon,1.0,Male,7,7 ,7 ,1 7 
control,5,1949,9,9,Model,0.0,Female,9,3 9 ,3 9 ,3 9 
control,5,867,4,4,Psychologist,0.0,Female,4,4 ,4 ,4 
control,5,1501,1,7,Surgeon,1.0,Male,7,1 6 7 ,1 6 7 ,1 6 7 
control,5,669,2,3,Journalist,1.0,Male,3,2 3 ,2 3 ,2 3 
control,5,403,3,2,Photographer,1.0,Male,2,2 5 ,2 3 5 9 ,2 3 5 9 
control,5,706,3,3,Journalist,1.0,Male,3,3 ,3 ,3 
control,5,498,2,2,Photographer,1.0,Male,2,2 ,2 ,2 
control,5,255,7,1,Physician,0.0,Female,1,1 6 ,1 6 ,1 
control,5,664,1,3,Journalist,1.0,Male,3,2 3 0 ,1 2 3 0 ,1 2 3 0 
control,5,1326,6,6,Dentist,0.0,Female,6,6 ,6 ,6 
control,5,1225,1,6,Dentist,1.0,Male,6,6 7 ,6 7 ,6 7 
control,5,95,0,0,Professor,0.0,Female,0,0 ,0 ,0 
control,5,631,3,3,Journalist,1.0,Male,3,3 ,3 ,2 3 
control,5,1487,0,7,Surgeon,0.0,Female,0,0 ,4 0 ,4 0 
control,5,542,8,2,Photographer,0.0,Female,2,2 ,2 ,2 
control,5,1646,8,8,Painter,0.0,Female,2,2 ,2 5 8 ,2 8 
control,5,402,2,2,Photographer,1.0,Male,2,2 ,2 ,2 
control,5,1372,6,6,Dentist,0.0,Female,6,6 ,6 ,6 
control,5,10,0,0,Professor,0.0,Female,0,0 ,0 ,0 
control,5,432,2,2,Photographer,1.0,Male,2,2 ,2 9 ,2 9 
control,5,1918,9,9,Model,1.0,Male,9,5 9 ,2 5 9 ,2 5 9 0 
control,5,643,3,3,Journalist,1.0,Male,3,3 ,3 ,3 
control,5,138,2,0,Professor,1.0,Male,3,3 0 ,3 5 0 ,3 4 5 0 
control,5,1833,9,9,Model,0.0,Female,2,2 3 5 9 ,2 3 5 9 ,2 3 9 
control,5,832,4,4,Psychologist,1.0,Male,4,4 ,4 ,4 
control,5,262,1,1,Physician,0.0,Female,1,1 ,1 6 ,1 6 
control,5,330,1,1,Physician,0.0,Female,1,1 6 ,1 6 ,1 
control,5,11,7,0,Professor,1.0,Male,0,1 0 ,1 0 ,1 0 
control,5,1038,5,5,Teacher,0.0,Female,5,5 ,5 ,5 
control,5,1104,5,5,Teacher,0.0,Female,5,5 ,5 ,5 
control,6,1965,3,9,Model,1.0,Male,3,3 6 ,2 3 6 ,2 3 6 
control,6,1249,6,6,Dentist,0.0,Female,6,6 ,6 7 ,6 
control,6,799,3,3,Journalist,0.0,Female,3,3 ,3 ,3 
control,6,550,2,2,Photographer,1.0,Male,2,2 3 ,2 3 ,2 3 
control,6,413,8,2,Photographer,1.0,Male,8,8 ,8 ,2 8 
control,6,878,4,4,Psychologist,1.0,Male,0,4 0 ,4 6 0 ,4 6 0 
control,6,1216,6,6,Dentist,1.0,Male,6,6 ,6 ,1 6 
control,6,848,4,4,Psychologist,0.0,Female,4,4 ,4 ,4 
control,6,1399,6,6,Dentist,1.0,Male,6,6 ,6 ,6 7 
control,6,873,4,4,Psychologist,1.0,Male,4,4 6 ,4 6 ,4 6 
control,6,1401,0,7,Surgeon,1.0,Male,1,1 7 ,1 7 ,1 7 
control,6,1583,7,7,Surgeon,1.0,Male,3,3 7 ,3 7 ,3 7 
control,6,719,2,3,Journalist,1.0,Male,5,5 9 ,5 9 ,5 9 
control,6,1444,7,7,Surgeon,0.0,Female,7,1 7 ,1 7 ,1 7 
control,6,109,4,0,Professor,1.0,Male,4,4 7 ,4 7 ,1 4 7 
control,6,1609,0,8,Painter,0.0,Female,8,8 ,8 0 ,8 
control,6,991,4,4,Psychologist,1.0,Male,5,3 5 ,2 3 4 5 ,2 3 4 5 
control,6,1914,9,9,Model,0.0,Female,9,9 ,9 ,9 
control,6,1135,5,5,Teacher,0.0,Female,5,5 9 ,5 ,5 
control,6,1639,2,8,Painter,1.0,Male,2,2 8 ,2 8 ,2 8 
control,6,1190,5,5,Teacher,1.0,Male,0,0 ,5 0 ,5 0 
control,6,17,3,0,Professor,1.0,Male,3,3 0 ,3 5 0 ,3 5 0 
control,6,638,0,3,Journalist,0.0,Female,4,4 5 ,4 5 0 ,4 5 
control,6,1995,9,9,Model,0.0,Female,9,9 ,9 ,9 
control,6,60,0,0,Professor,1.0,Male,0,0 ,0 ,0 
control,6,1956,2,9,Model,0.0,Female,2,2 ,2 ,2 
control,6,21,0,0,Professor,0.0,Female,0,0 ,0 ,0 
control,6,1185,5,5,Teacher,1.0,Male,5,5 7 ,5 7 ,5 7 
control,6,689,3,3,Journalist,1.0,Male,3,3 ,3 ,3 5 
control,6,293,1,1,Physician,1.0,Male,1,1 0 ,1 7 0 ,1 7 0 
control,6,1009,2,5,Teacher,1.0,Male,3,2 3 ,2 3 ,2 3 4 
control,6,1673,8,8,Painter,1.0,Male,8,8 ,8 ,8 
control,6,310,7,1,Physician,1.0,Male,1,1 7 ,1 6 7 ,1 7 
control,6,1976,3,9,Model,0.0,Female,3,3 5 9 ,2 3 5 9 ,3 5 9 
control,6,495,2,2,Photographer,0.0,Female,2,2 ,2 ,2 
control,6,1296,1,6,Dentist,1.0,Male,7,7 ,5 7 ,5 7 
control,6,343,1,1,Physician,0.0,Female,1,1 6 ,1 6 ,1 6 
control,6,1560,7,7,Surgeon,0.0,Female,6,1 6 7 ,1 6 7 0 ,1 6 7 0 
control,6,982,4,4,Psychologist,0.0,Female,4,4 ,4 ,4 
control,6,1604,8,8,Painter,0.0,Female,8,8 ,8 ,8 
control,6,1417,7,7,Surgeon,1.0,Male,1,1 ,1 ,1 
control,6,134,2,0,Professor,1.0,Male,0,0 ,0 ,3 0 
control,6,1799,8,8,Painter,0.0,Female,8,2 8 ,8 ,8 
control,6,237,1,1,Physician,0.0,Female,1,1 ,1 ,1 
control,6,229,1,1,Physician,0.0,Female,1,1 ,1 ,1 
control,6,686,3,3,Journalist,0.0,Female,3,3 ,3 ,3 
control,6,449,2,2,Photographer,1.0,Male,2,2 ,2 ,2 
control,6,1273,6,6,Dentist,0.0,Female,6,6 ,6 ,6 
control,6,1016,3,5,Teacher,1.0,Male,5,5 0 ,4 5 0 ,4 5 0 
control,6,509,2,2,Photographer,1.0,Male,2,2 ,2 ,2 
control,7,1401,1,7,Surgeon,1.0,Male,1,1 7 ,1 7 ,1 7 
control,7,1995,9,9,Model,0.0,Female,9,9 ,9 ,9 
