experiment,participant_id,prompt_idx,response,label,label_text,group,group_text,top1,avgk_set,conformal_marginal_set,conformal_conditional_set
control,201,1190,3,3,Computer User,1.0,Middle,1,1 3 15 16,1 3 15 16,1 3 15 16
control,201,81,12,4,Craftsman,1.0,Middle,11,2 5 6 11 13 15,2 6 11 15,2 6 11 15
control,201,826,6,6,Guard,3.0,Unknown,6,6,6,6
control,201,1044,13,15,Repairman,0.0,Younger,11,3 4 6 10 11 14 15 16 17,6 11 15 16,6 11 15 16
control,202,440,12,6,Guard,1.0,Middle,6,6 12,6 12,6 11 12 15
control,202,1221,9,9,Hairdresser,1.0,Middle,9,4 9 16,4 9 11 16,4 9 11 16
control,202,287,3,3,Computer User,3.0,Unknown,16,3 5 16,3 5 10 16,3 5 10 16
control,202,1367,4,4,Craftsman,1.0,Middle,11,11 16,5 11 16,2 5 11 16
control,202,915,15,15,Repairman,1.0,Middle,11,11 15,11 15,11 15
control,202,226,2,2,Boatman,0.0,Younger,2,2,2,2
control,202,898,12,13,Motorcyclist,1.0,Middle,13,2 11 13 16,2 11 13 16,2 11 13 16
control,202,1236,7,7,Guitarist,1.0,Middle,11,1 2 5 7 11 16 17 20,1 2 11 20,1 2 11 20
control,202,894,12,6,Guard,2.0,Older,15,6 15 16,4 6 15 16,4 6 11 15 16
control,202,992,7,7,Guitarist,2.0,Older,7,7,7,7 11 16 17 18
control,202,1286,7,7,Guitarist,3.0,Unknown,7,7,7,7
control,202,753,3,3,Computer User,1.0,Middle,11,1 11 18,1 3 11 18,1 3 11 18
control,202,69,19,19,Speaker,1.0,Middle,17,9 16 17 20,9 16 17 20,9 16 17 20
control,202,924,6,6,Guard,0.0,Younger,6,6 15,6 15,6
control,202,74,20,20,Tennis Player,1.0,Middle,20,20,20,20
control,202,661,8,8,Gymnast,0.0,Younger,8,8 18,8 18,8
control,202,1316,2,16,Salesperson,1.0,Middle,2,1 2 11 14,1 2 11 14,1 2 11 14
control,202,215,11,14,Painter,1.0,Middle,11,11 14 15,4 11 14 15,4 11 14 15
control,202,350,18,18,Skateboarder,1.0,Middle,18,18,18,18
control,202,697,5,5,Farmer,3.0,Unknown,5,5 11,5 11 12,5 11
control,202,120,3,10,Horse Rider,0.0,Younger,10,10,5 10 12 16,10
control,202,1072,4,4,Craftsman,0.0,Younger,11,4 6 11 15 16,4 11 15 16,4 11 15 16
control,202,255,17,17,Singer,1.0,Middle,17,17,17,17
control,202,498,2,2,Boatman,1.0,Middle,2,2,2,2 11 16
control,202,1084,20,20,Tennis Player,3.0,Unknown,20,20,20,20
control,202,410,11,11,Laborer,1.0,Middle,11,2 6 11 16,2 6 11 16,2 6 11 16
control,202,1136,8,8,Gymnast,0.0,Younger,8,8,8,8
control,202,1115,19,19,Speaker,1.0,Middle,6,6 9 10 12 17 19,6 9 17 19,6 9 17 19
control,202,348,12,12,Officer,0.0,Younger,16,6 11 12 13 16,6 11 12 16,6 11 12 16
control,202,459,2,2,Boatman,2.0,Older,2,2,2,2 6 14 15 16
control,202,288,14,14,Painter,1.0,Middle,14,11 14,11 14 15 18,11 14 15 18
control,202,1171,1,18,Skateboarder,0.0,Younger,1,1 16 18,1 16 18,1
control,202,478,5,5,Farmer,3.0,Unknown,5,2 5 11,2 5 11,2 5 11
control,202,1094,20,20,Tennis Player,1.0,Middle,20,20,20,20
control,202,433,15,15,Repairman,1.0,Middle,15,11 13 15,11 13 15 17,11 13 15 17
control,202,272,16,16,Salesperson,2.0,Older,16,11 16,11 16,5 6 11 16
control,202,147,1,1,Backpacker,1.0,Middle,1,1,1 11,1 3 11 16
control,202,824,14,14,Painter,3.0,Unknown,14,14,14,14
control,202,445,13,13,Motorcyclist,3.0,Unknown,11,11 16,11 16,11 16
control,202,859,12,12,Officer,1.0,Middle,6,2 6 12,2 6 12 13,2 6 12 13
control,202,206,5,11,Laborer,1.0,Middle,5,5 11,5 11 16,5 11 16
control,202,336,17,17,Singer,0.0,Younger,17,17,17,17
control,202,381,1,1,Backpacker,0.0,Younger,16,1 3 6 11 15 16,1 6 11 16,1 6 11 16
control,202,165,13,13,Motorcyclist,1.0,Middle,2,1 2 13,1 2 13 19,1 2 13 19
control,202,1049,3,3,Computer User,3.0,Unknown,2,2 3 16,2 3 11 16,2 3 16
control,202,103,9,9,Hairdresser,1.0,Middle,9,9,9 11,9 11 16
control,202,339,17,17,Singer,1.0,Middle,17,17,17,10 11 17 20
control,202,1217,8,8,Gymnast,3.0,Unknown,8,8,8,8
control,202,683,12,12,Officer,3.0,Unknown,6,6 12 13 16,6 12 13 16,6 12 13 16
control,202,39,12,9,Hairdresser,2.0,Older,9,4 9 15,4 9 15,4 6 9 15 16
control,203,432,18,18,Skateboarder,0.0,Younger,18,18,18,18
control,203,844,5,11,Laborer,1.0,Middle,5,5 11,5 11,5 11
control,203,1198,9,9,Hairdresser,1.0,Middle,9,4 9 14 16,4 9 14 16,4 9 14 16
control,203,1050,8,8,Gymnast,0.0,Younger,8,8,8,8
control,203,152,16,16,Salesperson,2.0,Older,16,16,16,3 11 15 16
control,203,178,6,6,Guard,2.0,Older,15,6 13 15,4 6 13 15,4 6 13 15 16
control,203,788,6,6,Guard,1.0,Middle,6,6,6,6
control,203,275,6,6,Guard,1.0,Middle,6,6,6,6
control,203,1371,8,8,Gymnast,1.0,Middle,8,8,8,8
control,203,206,11,11,Laborer,1.0,Middle,5,5 11,5 11 16,5 11 16
control,203,964,10,10,Horse Rider,1.0,Middle,10,10 12,2 6 10 12,2 6 10 12
control,203,291,6,12,Officer,3.0,Unknown,6,6,6,6
control,203,1332,17,17,Singer,1.0,Middle,17,7 17,7 10 14 17,7 10 14 17
control,203,1202,7,7,Guitarist,2.0,Older,7,3 7,3 7 11 17,3 7 11 16 17
control,203,436,15,4,Craftsman,2.0,Older,4,4 11 15 16,4 11 15 16,4 9 11 15 16
control,203,697,11,5,Farmer,3.0,Unknown,5,5 11,5 11 12,5 11
control,203,102,18,18,Skateboarder,1.0,Middle,18,18,18,18
control,203,1122,3,3,Computer User,1.0,Middle,3,3 16 17 19,3 16 17 19,3 16 17 19
control,203,1042,19,19,Speaker,2.0,Older,10,5 6 8 9 10 12 16 17 19,6 10 12 16,6 10 12 16 17
control,203,1254,13,13,Motorcyclist,3.0,Unknown,16,2 13 16,2 11 13 16,2 11 13 16
control,203,958,17,17,Singer,1.0,Middle,17,17,17,10 17 19
control,203,559,7,7,Guitarist,1.0,Middle,7,7 16 17,7 11 16 17,7 11 16 17
control,203,855,15,14,Painter,1.0,Middle,15,11 15,11 14 15,11 14 15
control,203,842,14,14,Painter,3.0,Unknown,16,11 14 16,11 14 16,11 14 16
control,203,85,20,19,Speaker,0.0,Younger,16,1 4 6 10 11 13 16,1 10 11 16,1 10 11 16
control,203,1354,3,3,Computer User,3.0,Unknown,3,3 10 12 16,3 10 12 16,3 10 12 16
control,203,473,2,2,Boatman,1.0,Middle,2,2,2 11,2 11
control,203,749,12,12,Officer,2.0,Older,12,6 11 12 13 15,6 11 12 15,6 11 12 13 15
control,203,1328,5,5,Farmer,0.0,Younger,11,5 11,5 11,5 11
control,203,1389,13,13,Motorcyclist,3.0,Unknown,13,13,13,13
control,203,19,20,20,Tennis Player,1.0,Middle,20,20,20,20
control,203,73,4,15,Repairman,2.0,Older,4,4 11,4 11 16,4 5 11 15 16
control,203,297,7,7,Guitarist,1.0,Middle,7,7,7,7 13
control,203,402,1,1,Backpacker,0.0,Younger,1,1,1,1
control,203,806,15,15,Repairman,3.0,Unknown,15,4 11 15,3 4 11 15,4 11 15
control,203,1182,3,3,Computer User,3.0,Unknown,3,3,3,3
control,203,553,2,13,Motorcyclist,0.0,Younger,2,2,2 16,2
control,203,943,10,10,Horse Rider,1.0,Middle,10,10,10,8 10
control,203,609,10,10,Horse Rider,1.0,Middle,10,8 10,5 8 10 20,5 8 10 20
control,203,951,16,16,Salesperson,1.0,Middle,16,5 11 16,5 11 16,4 5 11 16
control,203,985,19,19,Speaker,2.0,Older,10,3 5 6 10 11 12 19,3 10 11 19,3 6 10 11 19
control,203,367,16,16,Salesperson,1.0,Middle,16,11 16,5 11 16,5 6 11 16
control,203,319,11,5,Farmer,1.0,Middle,5,5 11,5 11 16,5 11 16
control,203,627,1,1,Backpacker,1.0,Middle,3,1 3 4 5 14 16,1 3 5 16,1 3 5 16
control,203,193,2,2,Boatman,3.0,Unknown,2,2 6,2 6 11 12,2 6 12
control,203,448,12,12,Officer,1.0,Middle,12,6 12,3 6 12 13,3 6 12 13
control,203,875,20,20,Tennis Player,1.0,Middle,20,20,20,20
control,203,1036,5,18,Skateboarder,3.0,Unknown,18,6 12 18,6 10 12 18,6 10 12 18
control,203,373,14,14,Painter,1.0,Middle,14,14,14,14
control,203,187,9,9,Hairdresser,3.0,Unknown,9,9,9,9
control,204,854,3,3,Computer User,1.0,Middle,3,3,3 4 15 19,3 4 15 19
control,204,273,15,15,Repairman,1.0,Middle,15,11 15,11 15 16,11 15 16
control,204,28,9,9,Hairdresser,1.0,Middle,9,9,9,6 9
control,204,781,4,19,Speaker,1.0,Middle,16,9 11 16,4 9 11 16,4 9 11 16
control,204,470,9,9,Hairdresser,3.0,Unknown,9,9,9,9
control,204,1032,12,12,Officer,3.0,Unknown,6,6 12,6 12 13,6 12
control,204,1356,5,11,Laborer,3.0,Unknown,11,5 11,5 11 16,5 11 16
control,204,570,14,14,Painter,2.0,Older,14,14 16,14 16,4 11 14 15 16
control,204,646,7,7,Guitarist,1.0,Middle,17,7 11 17,6 7 11 17,6 7 11 17
control,204,991,20,20,Tennis Player,1.0,Middle,20,20,20,20
control,204,1049,3,3,Computer User,3.0,Unknown,2,2 3 16,2 3 11 16,2 3 16
control,204,159,17,17,Singer,1.0,Middle,17,7 17,7 17,7 10 17 19
control,204,579,15,4,Craftsman,1.0,Middle,4,4 11,4 11 15,4 11 15 16
control,204,626,2,2,Boatman,1.0,Middle,2,2,2,2
control,204,110,8,8,Gymnast,0.0,Younger,8,8,8,8
control,204,843,14,14,Painter,2.0,Older,16,4 11 16,4 11 15 16,4 11 14 15 16
control,204,71,12,6,Guard,1.0,Middle,6,6 10 14,6 9 10 14,6 9 10 14
control,204,589,10,10,Horse Rider,3.0,Unknown,10,10,10,10
control,204,463,16,16,Salesperson,0.0,Younger,16,16,16,16
control,204,79,3,3,Computer User,0.0,Younger,3,3 11 15,3 11 15,3
control,204,665,19,19,Speaker,3.0,Unknown,19,2 3 10 11 12 13 16 17 19,2 10 12 19,2 10 12 19
control,204,625,13,13,Motorcyclist,3.0,Unknown,13,13,13,13
control,204,95,10,10,Horse Rider,0.0,Younger,10,10,5 8 10,10
control,204,807,1,11,Laborer,1.0,Middle,11,11 15,11 15,11 15
control,204,1318,18,18,Skateboarder,3.0,Unknown,18,18,18,18
control,204,1061,4,4,Craftsman,2.0,Older,4,4 11,2 4 11,2 4 5 11 15
control,204,63,6,11,Laborer,1.0,Middle,6,6 13,6 12 13 16,6 12 13 16
control,204,1188,9,9,Hairdresser,3.0,Unknown,9,9 11,9 11,9
control,204,86,2,5,Farmer,3.0,Unknown,5,2 5 11,2 5 11,2 5 11
control,204,803,18,18,Skateboarder,3.0,Unknown,18,18,18,18
control,204,309,6,12,Officer,1.0,Middle,6,6 13,6 12 13 16,6 12 13 16
control,204,1379,13,13,Motorcyclist,2.0,Older,13,13,12 13,4 10 12 13 15
control,204,602,2,2,Boatman,1.0,Middle,2,2 6 19,2 3 6 19,2 3 6 19
control,204,133,5,5,Farmer,3.0,Unknown,11,5 11,5 11,5 11
control,204,849,7,7,Guitarist,1.0,Middle,7,7 17,7 17,7 17
control,204,1070,12,12,Officer,3.0,Unknown,6,6 12,3 6 12 16,6 12 16
control,204,1060,6,6,Guard,0.0,Younger,6,6,6,6
control,204,1105,7,17,Singer,1.0,Middle,16,2 7 11 16 17,2 7 16 17,2 7 16 17
control,204,1280,4,4,Craftsman,1.0,Middle,4,2 4 11,2 4 11,2 4 11
control,204,578,16,16,Salesperson,1.0,Middle,16,11 16,11 16,11 16
control,204,107,8,1,Backpacker,1.0,Middle,16,6 11 16 17,6 11 16 17,6 11 16 17
control,204,1048,16,16,Salesperson,1.0,Middle,16,5 11 16,5 11 16,1 5 11 16
control,204,1096,20,20,Tennis Player,1.0,Middle,20,20,20,20
control,204,316,8,8,Gymnast,1.0,Middle,8,8,8,8
control,204,19,20,20,Tennis Player,1.0,Middle,20,20,20,20
control,204,70,11,15,Repairman,2.0,Older,15,4 11 15,4 11 15,4 9 11 15
control,204,1243,19,19,Speaker,0.0,Younger,16,1 2 15 16 17,2 15 16 17,2 15 16 17
control,204,351,1,1,Backpacker,0.0,Younger,1,1,1,1
control,204,390,10,10,Horse Rider,1.0,Middle,10,6 10 12,6 10 12,6 10 12
control,204,662,1,1,Backpacker,0.0,Younger,1,1,1,1
control,205,982,2,2,Boatman,1.0,Middle,2,2,2,1 2
control,205,557,16,1,Backpacker,1.0,Middle,3,3 6 16 18 19 20,3 6 16 19,3 6 16 19
control,205,551,5,5,Farmer,1.0,Middle,5,5 11,5 11,5 11
control,205,846,6,10,Horse Rider,3.0,Unknown,6,6,6,6
control,205,1334,20,17,Singer,1.0,Middle,17,17,17,11 17
control,205,1060,6,6,Guard,0.0,Younger,6,6,6,6
control,205,1390,4,4,Craftsman,1.0,Middle,11,4 11 15 16,4 11 15 16,4 11 15 16
control,205,946,14,14,Painter,3.0,Unknown,14,14,2 14,14
control,205,597,3,3,Computer User,1.0,Middle,19,3 11 15 17 19,3 11 17 19,3 11 17 19
control,205,1354,3,3,Computer User,3.0,Unknown,3,3 10 12 16,3 10 12 16,3 10 12 16
control,205,112,20,20,Tennis Player,0.0,Younger,20,20,20,20
control,205,850,3,3,Computer User,3.0,Unknown,16,11 16,3 11 15 16,3 11 15 16
control,205,650,18,18,Skateboarder,3.0,Unknown,18,18,8 18,18
control,205,530,17,17,Singer,1.0,Middle,17,17,7 17,7 17
control,205,966,14,14,Painter,2.0,Older,14,5 11 14,4 5 11 14,4 5 11 12 14
control,205,560,10,10,Horse Rider,0.0,Younger,10,8 10,8 10 20,10
control,205,725,8,8,Gymnast,0.0,Younger,8,8,8,8
control,205,943,10,10,Horse Rider,1.0,Middle,10,10,10,8 10
control,205,366,15,15,Repairman,1.0,Middle,15,11 15,11 15,4 11 15
control,205,1147,6,6,Guard,0.0,Younger,6,6,6,6
control,205,208,15,15,Repairman,3.0,Unknown,3,3,3 19,3
control,205,186,4,4,Craftsman,2.0,Older,11,3 4 9 11 15 16,3 11 15 16,3 4 11 15 16
control,205,176,5,11,Laborer,3.0,Unknown,11,2 5 11,2 5 11,2 5 11
control,205,675,2,16,Salesperson,1.0,Middle,16,11 15 16,2 11 15 16,2 11 15 16
control,205,1203,12,12,Officer,1.0,Middle,6,6 11,2 6 11 12,2 6 11 12
control,205,935,13,13,Motorcyclist,3.0,Unknown,13,13,13,13
control,205,400,18,18,Skateboarder,3.0,Unknown,18,18,18,18
control,205,135,19,19,Speaker,3.0,Unknown,16,6 10 12 16 17 19 20,6 16 17 19,6 16 17 19
control,205,58,11,11,Laborer,3.0,Unknown,11,6 11 14,6 11 14 18,6 11 14 18
control,205,205,13,13,Motorcyclist,1.0,Middle,13,13,12 13,12 13
control,205,139,5,9,Hairdresser,1.0,Middle,11,5 9 11,4 5 9 11,4 5 9 11
control,205,587,19,19,Speaker,2.0,Older,12,3 6 10 11 12 16 17 19 20,6 11 12 16,6 11 12 16 19
control,205,1263,8,8,Gymnast,1.0,Middle,8,8,8,8
control,205,921,18,18,Skateboarder,3.0,Unknown,18,18,18,18
control,205,418,1,16,Salesperson,1.0,Middle,16,1 16,1 11 16,1 11 15 16
control,205,679,5,5,Farmer,2.0,Older,5,5 11,5 11,2 4 5 11
control,205,521,13,13,Motorcyclist,1.0,Middle,13,13,13,13
control,205,386,17,7,Guitarist,3.0,Unknown,17,17,17,17
control,205,936,16,16,Salesperson,1.0,Middle,16,16,16,5 11 16
control,205,389,13,1,Backpacker,2.0,Older,13,13,13,1 2 13 16
control,205,716,15,15,Repairman,0.0,Younger,15,15,15,15
control,205,788,12,6,Guard,1.0,Middle,6,6,6,6
control,205,870,8,8,Gymnast,0.0,Younger,8,8,8,8
control,205,1116,19,19,Speaker,1.0,Middle,9,3 8 9 16 17 19,3 9 17 19,3 9 17 19
control,205,615,5,11,Laborer,1.0,Middle,5,5 11,5 11,1 5 11
control,205,558,17,7,Guitarist,1.0,Middle,17,7 17,7 10 15 17,7 10 15 17
control,205,944,4,4,Craftsman,1.0,Middle,11,4 5 9 11 16,5 9 11 16,5 9 11 16
control,205,107,17,1,Backpacker,1.0,Middle,16,6 11 16 17,6 11 16 17,6 11 16 17
control,205,611,1,7,Guitarist,3.0,Unknown,16,1 15 16,1 4 15 16,1 4 15 16
control,205,1325,12,12,Officer,1.0,Middle,6,6 12 13,6 12 13 19,6 12 13 19
control,206,935,13,13,Motorcyclist,3.0,Unknown,13,13,13,13
control,206,389,16,1,Backpacker,2.0,Older,13,13,13,1 2 13 16
control,206,558,17,7,Guitarist,1.0,Middle,17,7 17,7 10 15 17,7 10 15 17
control,206,870,8,8,Gymnast,0.0,Younger,8,8,8,8
control,206,176,11,11,Laborer,3.0,Unknown,11,2 5 11,2 5 11,2 5 11
control,206,946,14,14,Painter,3.0,Unknown,14,14,2 14,14
control,206,1390,15,4,Craftsman,1.0,Middle,11,4 11 15 16,4 11 15 16,4 11 15 16
control,206,650,18,18,Skateboarder,3.0,Unknown,18,18,8 18,18
control,206,788,12,6,Guard,1.0,Middle,6,6,6,6
control,206,400,18,18,Skateboarder,3.0,Unknown,18,18,18,18
control,206,675,16,16,Salesperson,1.0,Middle,16,11 15 16,2 11 15 16,2 11 15 16
control,206,1060,6,6,Guard,0.0,Younger,6,6,6,6
control,206,1203,6,12,Officer,1.0,Middle,6,6 11,2 6 11 12,2 6 11 12
control,206,107,17,1,Backpacker,1.0,Middle,16,6 11 16 17,6 11 16 17,6 11 16 17
control,206,716,15,15,Repairman,0.0,Younger,15,15,15,15
control,206,58,11,11,Laborer,3.0,Unknown,11,6 11 14,6 11 14 18,6 11 14 18
control,206,112,20,20,Tennis Player,0.0,Younger,20,20,20,20
control,206,366,15,15,Repairman,1.0,Middle,15,11 15,11 15,4 11 15
control,206,679,5,5,Farmer,2.0,Older,5,5 11,5 11,2 4 5 11
control,206,560,10,10,Horse Rider,0.0,Younger,10,8 10,8 10 20,10
control,206,551,5,5,Farmer,1.0,Middle,5,5 11,5 11,5 11
control,206,521,13,13,Motorcyclist,1.0,Middle,13,13,13,13
control,206,208,15,15,Repairman,3.0,Unknown,3,3,3 19,3
control,206,966,14,14,Painter,2.0,Older,14,5 11 14,4 5 11 14,4 5 11 12 14
control,206,1147,6,6,Guard,0.0,Younger,6,6,6,6
control,206,1116,19,19,Speaker,1.0,Middle,9,3 8 9 16 17 19,3 9 17 19,3 9 17 19
control,206,139,1,9,Hairdresser,1.0,Middle,11,5 9 11,4 5 9 11,4 5 9 11
control,206,846,6,10,Horse Rider,3.0,Unknown,6,6,6,6
control,206,982,2,2,Boatman,1.0,Middle,2,2,2,1 2
control,206,587,19,19,Speaker,2.0,Older,12,3 6 10 11 12 16 17 19 20,6 11 12 16,6 11 12 16 19
control,206,1263,8,8,Gymnast,1.0,Middle,8,8,8,8
control,206,418,16,16,Salesperson,1.0,Middle,16,1 16,1 11 16,1 11 15 16
control,206,1334,17,17,Singer,1.0,Middle,17,17,17,11 17
